iter	Passed	Remaining
688	2296	1036
689	2300	1033
690	2303	1030
691	2306	1026
692	2309	1023
693	2312	1019
694	2316	1016
695	2319	1013
696	2322	1009
697	2325	1006
698	2328	1002
699	2332	999
700	2335	996
701	2338	992
702	2341	989
703	2344	985
704	2363	989
705	2367	985
706	2370	982
707	2373	978
708	2379	976
709	2383	973
710	2386	969
711	2389	966
712	2392	963
713	2396	959
714	2399	956
715	2402	952
716	2405	949
717	2409	946
718	2412	942
719	2415	939
720	2419	936
721	2422	932
722	2425	929
723	2429	925
724	2432	922
725	2435	919
726	2438	915
727	2441	912
728	2445	909
729	2448	905
730	2451	902
731	2455	898
732	2458	895
733	2461	892
734	2465	888
735	2468	885
736	2471	881
737	2474	878
738	2478	875
739	2481	871
740	2484	868
741	2487	864
742	2490	861
743	2494	858
744	2497	854
745	2500	851
746	2504	848
747	2507	844
748	2510	841
749	2513	837
750	2517	834
751	2520	831
752	2523	827
753	2526	824
754	2530	821
755	2533	817
756	2536	814
757	2539	810
758	2543	807
759	2546	804
760	2549	800
761	2552	797
762	2556	793
763	2559	790
764	2562	787
765	2565	783
766	2569	780
767	2572	777
768	2575	773
769	2578	770
770	2581	766
771	2585	763
772	2588	760
773	2593	757
774	2596	753
775	2599	750
776	2602	747
777	2606	743
778	2609	740
779	2612	736
780	2615	733
781	2618	730
782	2622	726
783	2625	723
784	2628	719
785	2632	716
786	2635	713
787	2638	709
788	2641	706
789	2644	703
790	2647	699
791	2650	696
792	2654	692
793	2657	689
794	2660	686
795	2663	682
796	2667	679
797	2673	676
798	2682	674
799	2686	671
800	2690	668
801	2693	664
802	2696	661
803	2699	658
804	2703	654
805	2706	651
806	2709	648
807	2713	644
808	2716	641
809	2719	637
810	2722	634
811	2726	631
812	2729	627
813	2733	624
814	2736	621
815	2739	617
816	2743	614
817	2746	611
818	2749	607
819	2753	604
820	2756	600
821	2759	597
822	2762	594
823	2765	590
824	2769	587
825	2772	584
826	2775	580
827	2778	577
828	2781	573
829	2785	570
830	2788	567
831	2791	563
832	2794	560
833	2797	556
834	2801	553
835	2804	550
836	2807	546
837	2810	543
838	2813	539
839	2817	536
840	2820	533
841	2823	529
842	2826	526
843	2829	523
844	2833	519
845	2836	516
846	2839	512
847	2843	509
848	2846	506
849	2849	502
850	2852	499
851	2856	496
852	2859	492
853	2862	489
854	2866	486
855	2869	482
856	2872	479
857	2875	475
858	2878	472
859	2882	469
860	2885	465
861	2888	462
862	2891	459
863	2894	455
864	2898	452
865	2901	448
866	2904	445
867	2907	442
868	2910	438
869	2914	435
870	2917	432
871	2920	428
872	2924	425
873	2927	422
874	2930	418
875	2933	415
876	2936	411
877	2940	408
878	2946	405
879	2954	402
880	2959	399
881	2963	396
882	2967	393
883	2970	389
884	2974	386
885	2977	383
886	2981	379
887	2984	376
888	2988	373
889	2991	369
890	2995	366
891	2999	363
892	3002	359
893	3006	356
894	3009	353
895	3012	349
896	3015	346
897	3019	342
898	3022	339
899	3025	336
900	3029	332
901	3032	329
902	3035	326
903	3038	322
904	3041	319
905	3045	315
906	3048	312
907	3051	309
908	3054	305
909	3057	302
910	3061	299
911	3064	295
912	3067	292
913	3070	288
914	3073	285
915	3076	282
916	3079	278
917	3082	275
918	3086	271
919	3089	268
920	3092	265
921	3095	261
922	3099	258
923	3103	255
924	3106	251
925	3110	248
926	3113	245
927	3116	241
928	3119	238
929	3123	235
930	3126	231
931	3129	228
932	3132	224
933	3135	221
934	3138	218
935	3141	214
936	3144	211
937	3148	208
938	3151	204
939	3154	201
940	3157	197
941	3160	194
942	3164	191
943	3167	187
944	3170	184
945	3173	181
946	3177	177
947	3180	174
948	3183	171
949	3186	167
950	3190	164
951	3193	161
952	3196	157
953	3199	154
954	3202	150
955	3206	147
956	3209	144
957	3212	140
958	3216	137
959	3219	134
960	3222	130
961	3225	127
962	3228	124
963	3231	120
964	3234	117
965	3238	113
966	3241	110
967	3244	107
968	3247	103
969	3251	100
970	3254	97
971	3257	93
972	3260	90
973	3263	87
974	3267	83
975	3270	80
976	3273	77
977	3276	73
978	3279	70
979	3283	67
980	3286	63
981	3289	60
982	3292	56
983	3296	53
984	3299	50
985	3302	46
986	3305	43
987	3309	40
988	3312	36
989	3315	33
990	3318	30
991	3321	26
992	3325	23
993	3328	20
994	3331	16
995	3334	13
996	3338	10
997	3341	6
998	3345	3
999	3348	0
